github_url,model_name,model_type
github.com/facebookresearch/parlai,Vamsi/T5_Paraphrase_Paws,nlp
github.com/facebookresearch/parlai,meta-llama/Llama-2-7b-hf,nlp
github.com/facebookresearch/tart,facebook/tart-full-flan-t0-3b,nlp
github.com/facebookresearch/tart,facebook/tart-full-flan-t5-xl,nlp
github.com/farizrahman4u/loopgpt,sentence-transformers/all-roberta-large-v1,nlp
github.com/farizrahman4u/loopgpt,huggyllama/llama-7b,nlp
github.com/farizrahman4u/loopgpt,stabilityai/stablelm-tuned-alpha-7b,nlp
github.com/fastnlp/cpt,fnlp/cpt-base,nlp
github.com/fishaudio/fish-diffusion,hubert_soft,speech
github.com/fishaudio/fish-diffusion,TencentGameMate/chinese-hubert-base,speech
github.com/fishaudio/fish-diffusion,TencentGameMate/chinese-hubert-large,speech
github.com/fishaudio/fish-diffusion,meta-llama/Llama-2-7b-hf,nlp
github.com/fishaudio/fish-diffusion,baichuan-inc/Baichuan2-7B-Base,nlp
github.com/flowersteam/grounding_llms_with_online_rl,resnet18,vision
github.com/flowersteam/grounding_llms_with_online_rl,hf-internal-testing/mrpc-bert-base-cased,nlp
github.com/flowersteam/grounding_llms_with_online_rl,bert-base-cased,nlp
github.com/flowersteam/grounding_llms_with_online_rl,resnet50d,vision
github.com/flowersteam/grounding_llms_with_online_rl,EleutherAI/gpt-j-6B,nlp
github.com/geeks-of-data/knowledge-gpt,emrecan/bert-base-turkish-cased-mean-nli-stsb-tr,nlp
github.com/geeks-of-data/knowledge-gpt,en_core_web_sm,nlp
github.com/geeks-of-data/knowledge-gpt,sentence-transformers/all-MiniLM-L6-v2,nlp
github.com/gitmylo/audio-webui,sanchit-gandhi/clap-htsat-unfused-m-full,multi_modal
github.com/gitmylo/audio-webui,bert-base-multilingual-cased,nlp
github.com/gitmylo/audio-webui,facebook/hubert-base-ls960,speech
github.com/gitmylo/audio-webui,cvssp/audioldm-m-full,audio
github.com/guifachild/text_to_vedio,THUDM/chatglm-6b,nlp
github.com/guzpenha/transformer_rankers,bert-base-nli-stsb-mean-tokens,nlp
github.com/guzpenha/transformer_rankers,all-MiniLM-L6-v2,nlp
github.com/guzpenha/transformer_rankers,t5-small,nlp
github.com/guzpenha/transformer_rankers,t5-11b,nlp
github.com/guzpenha/transformer_rankers,t5-3b,nlp
github.com/guzpenha/transformer_rankers,t5-base,nlp
github.com/guzpenha/transformer_rankers,t5-large,nlp
github.com/haoheliu/audioldm,bert-base-uncased,nlp
github.com/haoheliu/audioldm,facebook/bart-base,nlp
github.com/haoheliu/audioldm,roberta-base,nlp
github.com/hazyresearch/domino,gpt2,nlp
github.com/hazyresearch/domino,bert-large-cased,nlp
github.com/hhousen/transformersum,distil,nlp
github.com/hhousen/transformersum,roberta,nlp
github.com/hhousen/transformersum,en_core_web_sm,nlp
github.com/hhousen/transformersum,longformer,nlp
github.com/hhousen/transformersum,bert-base-uncased,nlp
github.com/huggingface/instruction-tuned-sd,timbrooks/instruct-pix2pix,multi_modal
github.com/huggingface/instruction-tuned-sd,runwayml/stable-diffusion-v1-5,multi_modal
github.com/ibm/zshot,ibm/smxm,nlp
github.com/ibm/zshot,gpt2,nlp
github.com/ibm/zshot,en_core_web_sm,nlp
github.com/ink-usc/mhgrn,en_core_web_sm,nlp
github.com/ink-usc/mhgrn,RoBERTa,nlp
github.com/ink-usc/mhgrn,BERT,nlp
github.com/ink-usc/mhgrn,XLNet,nlp
github.com/ink-usc/mhgrn,GPT,nlp
github.com/isl-org/dpt,resnext101_32x8d_wsl,vision
github.com/isl-org/dpt,vit_base_resnet50,vision
github.com/jcharis/machine-learning-web-apps,en_core_web_sm,nlp
github.com/jim-schwoebel/allie,bert-base-nli-mean-tokens,nlp
github.com/jim-schwoebel/allie,facebook/hubert-large-ls960-ft,speech
github.com/jim-schwoebel/allie,en_core_web_sm,nlp
github.com/johannakarras/dreampose,openai/clip-vit-base-patch32,multi_modal
github.com/johannakarras/dreampose,CompVis/stable-diffusion-v1-4,multi_modal
github.com/jonatasgrosman/wav2vec2-sprint,en_core_web_sm,nlp
github.com/jonatasgrosman/wav2vec2-sprint,facebook/wav2vec2-large,speech
github.com/jonatasgrosman/wav2vec2-sprint,facebook/wav2vec2-large-100k-voxpopuli,speech
github.com/jonatasgrosman/wav2vec2-sprint,facebook/wav2vec2-large-10k-voxpopuli,speech
github.com/jonatasgrosman/wav2vec2-sprint,facebook/wav2vec2-large-es-voxpopuli,speech
github.com/jonatasgrosman/wav2vec2-sprint,facebook/wav2vec2-large-fr-voxpopuli,speech
github.com/jonatasgrosman/wav2vec2-sprint,facebook/wav2vec2-large-it-voxpopuli,speech
github.com/jonatasgrosman/wav2vec2-sprint,facebook/wav2vec2-large-nl-voxpopuli,speech
github.com/jonatasgrosman/wav2vec2-sprint,facebook/wav2vec2-large-sv-voxpopuli,speech
github.com/jonatasgrosman/wav2vec2-sprint,facebook/wav2vec2-large-xlsr-53,speech
github.com/jonatasgrosman/wav2vec2-sprint,ja_core_news_sm,nlp
github.com/junshutang/make-it-3d,resnext101_32x8d_wsl,vision
github.com/junshutang/make-it-3d,openai/clip-vit-large-patch14,multi_modal
github.com/junshutang/make-it-3d,runwayml/stable-diffusion-v1-5,multi_modal
github.com/junshutang/make-it-3d,Salesforce/blip2-opt-2.7b,multi_modal
github.com/junshutang/make-it-3d,stabilityai/stable-diffusion-2-base,multi_modal
github.com/jzbjyb/flare,en_core_web_sm,nlp
github.com/kangyeolk/paint-by-sketch,openai/clip-vit-large-patch14,multi_modal
github.com/kangyeolk/paint-by-sketch,CompVis/stable-diffusion-safety-checker,vision
github.com/karthikv792/llms-planning,bigscience/bloom,nlp
github.com/kengz/spacy-nlp,en_core_web_md,nlp
github.com/kmeng01/memit,gpt2-xl,nlp
github.com/kmeng01/memit,EleutherAI/gpt-j-6B,nlp
github.com/kmeng01/memit,gpt-2,nlp
github.com/krr-oxford/deeponto,bert-base-uncased,nlp
github.com/ku-cvlab/3dfuse,rwightman/gen-efficientnet-pytorch,vision
github.com/ku-cvlab/3dfuse,openai/clip-vit-large-patch14,multi_modal
github.com/ku-cvlab/3dfuse,resnext101_32x8d_wsl,vision
github.com/ku-cvlab/3dfuse,ViT-H-14,vision
github.com/ku-cvlab/3dfuse,kakaobrain/karlo-v1-alpha,multi_modal
github.com/ku-cvlab/3dfuse,google/t5-v1_1-large,nlp
github.com/ku-cvlab/3dfuse,tf_efficientnet_lite3,vision
github.com/ku-cvlab/3dfuse,runwayml/stable-diffusion-v1-5,multi_modal
github.com/labteral/ernie,bert-base-uncased,nlp
github.com/lavis-nlp/spert,allenai/scibert_scivocab_uncased,nlp
github.com/learnedvector/a-hackers-ai-voice-assistant,bert-base-uncased,nlp
github.com/lensterxyz/lenster,bert,nlp
github.com/leonnnop/gmmseg,ResNet,vision
github.com/leonnnop/gmmseg,ResNeXt,vision
github.com/leonnnop/gmmseg,ResNeSt,vision
github.com/leonnnop/gmmseg,MobileNetV2,vision
github.com/leonnnop/gmmseg,MobileNetV3,vision
github.com/leonnnop/gmmseg,ViT,vision
github.com/leonnnop/gmmseg,Swin,vision
github.com/leonnnop/gmmseg,Twins,vision
github.com/leonnnop/gmmseg,MIT,vision
github.com/lipurple/grounded-diffusion,deeplabv2_resnet101,vision
github.com/lipurple/grounded-diffusion,openai/clip-vit-large-patch14,multi_modal
github.com/lipurple/grounded-diffusion,MiDaS,vision
github.com/lipurple/grounded-diffusion,bert-base-uncased,nlp
github.com/locuslab/convmixer,timm,vision
github.com/loubnabnl/santacoder-finetuning,bigcode/santacoder,nlp
github.com/luogen1996/mcn,en_vectors_web_lg,nlp
github.com/lupantech/scienceqa,nlpconnect/vit-gpt2-image-captioning,multi_modal
github.com/memray/opennmt-kpg-release,en_core_web_sm,nlp
github.com/michiyasunaga/linkbert,llama-7b-emb-zh,nlp
github.com/microsoft/dialogpt,microsoft/DialoGPT-large,nlp
github.com/microsoft/dialogpt,gpt,nlp
github.com/microsoft/jericho,en_core_web_sm,nlp
github.com/mikubill/naifu-diffusion,stabilityai/stable-diffusion-xl-base-1.0,multi_modal
github.com/mikubill/naifu-diffusion,PixArt-alpha/PixArt-XL-2-1024-MS,multi_modal
github.com/mikubill/naifu-diffusion,madebyollin/sdxl-vae-fp16-fix,multi_modal
github.com/mikubill/naifu-diffusion,stabilityai/sd-vae-ft-mse,multi_modal
github.com/mikubill/naifu-diffusion,facebook/opt-350m,nlp
github.com/mikubill/naifu-diffusion,microsoft/phi-1,nlp
github.com/mikubill/naifu-diffusion,SimianLuo/LCM_Dreamshaper_v7,multi_modal
github.com/msg-systems/holmes-extractor,en_core_web_trf,nlp
github.com/nabeel-oz/qlik-py-tools,en_core_web_sm,nlp
github.com/naver/gdc,gpt2,nlp
github.com/naver/gdc,gpt2-medium,nlp
github.com/naver/gdc,microsoft/DialogRPT-updown,nlp
github.com/naver/gdc,en_core_web_sm,nlp
github.com/neulab/knn-transformers,neulab/gpt2-finetuned-wikitext103,nlp
github.com/neulab/knn-transformers,gpt2,nlp
github.com/neutralzz/billa,llama,nlp
github.com/norskregnesentral/skweak,en_core_web_md,nlp
github.com/norskregnesentral/skweak,en_core_web_sm,nlp
github.com/norskregnesentral/skweak,nb_core_news_md,nlp
github.com/nvlabs/a-vit,avit_tiny_patch16_224,vision
github.com/nyannyanovich/nyan,openai/clip-vit-base-patch32,multi_modal
github.com/robustbench/robustbench,intfloat/multilingual-e5-base,nlp
github.com/okojoalg/sequencer,dpn92,vision
github.com/omerbt/multidiffusion,stabilityai/sd-vae-ft-mse,multi_modal
github.com/omerbt/multidiffusion,monster-labs/control_v1p_sd15_qrcode_monster,multi_modal
github.com/omerbt/multidiffusion,lllyasviel/sd-controlnet-canny,multi_modal
github.com/omerbt/multidiffusion,runwayml/stable-diffusion-v1-5,multi_modal
github.com/omerbt/multidiffusion,stabilityai/stable-diffusion-2-base,multi_modal
github.com/openaudiosearch/openaudiosearch,silero_vad,audio
github.com/openaudiosearch/openaudiosearch,de_core_news_lg,nlp
github.com/peterwilli/sd-leap-booster,stabilityai/stable-diffusion-2-1-base.,multi_modal
github.com/phellonchen/x-llm,bert-base-chinese,nlp
github.com/prakhar21/textaugmentation-gpt2,gpt2-medium,nlp
github.com/princeton-nlp/mezo,facebook/opt-125m,nlp
github.com/qanastek/hugsvision,facebook/detr-resnet-50,vision
github.com/qanastek/hugsvision,DeiT,vision
github.com/qanastek/hugsvision,google/vit-base-patch16-224-in21k,vision
github.com/qiuhuachuan/smile,qiuhuachuan/MeChat,nlp
github.com/qiuhuachuan/smile,THUDM/chatglm2-6b,nlp
github.com/renatoviolin/semantic-search,bert-base-nli-stsb-mean-tokens,nlp
github.com/renatoviolin/semantic-search,roberta-base-nli-stsb-mean-tokens,nlp
github.com/renatoviolin/semantic-search,bert-base-uncased,nlp
github.com/rinnakk/japanese-pretrained-models,RoBERTa,nlp
github.com/rinnakk/japanese-pretrained-models,GPT-2,nlp
github.com/robustness-gym/summvis,google/pegasus-cnn_dailymail,nlp
github.com/robustness-gym/summvis,google/pegasus-multi_news,nlp
github.com/robustness-gym/summvis,google/pegasus-newsroom,nlp
github.com/robustness-gym/summvis,google/pegasus-xsum,nlp
github.com/robustness-gym/summvis,facebook/bart-large-cnn,nlp
github.com/robustness-gym/summvis,facebook/bart-large-xsum,nlp
github.com/rongjiehuang/generspeech,facebook/wav2vec2-base-960h,speech
github.com/rpryzant/neutralizing-bias,en_core_web_sm,nlp
github.com/ruc-gsai/yulan-ir,bart,nlp
github.com/ruc-gsai/yulan-ir,T5,nlp
github.com/ruc-gsai/yulan-ir,GPT3,nlp
github.com/rucaibox/unisrec,bert-base-uncased,nlp
github.com/sail-sg/editanything,tf_efficientnet_lite3,vision
github.com/sail-sg/editanything,resnext101_32x8d_wsl,vision
github.com/sail-sg/editanything,Salesforce/blip2-opt-2.7b,multi_modal
github.com/salesforce/coderl,Salesforce/codet5-base,nlp
github.com/salesforce/coderl,Salesforce/codet5-large,nlp
github.com/salesforce/unicontrol,tf_efficientnet_lite3,vision
github.com/salesforce/unicontrol,resnext101_32x8d_wsl,vision
github.com/salesforce/unicontrol,CompVis/stable-diffusion-safety-checker,vision
github.com/sanchit-gandhi/whisper-jax,openai/whisper-large-v2,speech
github.com/sanster/lama-cleaner,runwayml/stable-diffusion-inpainting,multi_modal
github.com/sanster/lama-cleaner,Sanster/anything-4.0-inpainting,multi_modal
github.com/sanster/lama-cleaner,Sanster/Realistic_Vision_V1.4-inpainting,multi_modal
github.com/sanster/lama-cleaner,stabilityai/stable-diffusion-2-inpainting,multi_modal
github.com/scalaconsultants/aspect-based-sentiment-analysis,en_core_web_sm,nlp
github.com/scutcyr/soulchat,scutcyr/SoulChat,nlp
github.com/scutlihaoyu/open-chat-video-editor,stabilityai/stable-diffusion-2-1,multi_modal
github.com/scutlihaoyu/open-chat-video-editor,M-CLIP/XLM-Roberta-Large-Vit-L-14,multi_modal
github.com/seujung/kobart-summarization,gogamza/kobart-base-v1,nlp
github.com/seujung/kobart-summarization,digit82/kobart-summarization,nlp
github.com/shark-nlp/cont,google/pegasus-xsum,nlp
github.com/shark-nlp/cont,t5,nlp
github.com/shark-nlp/cont,codet5,nlp
github.com/shi-labs/compact-transformers,resnet101,vision
github.com/shibing624/medicalgpt,Qwen/Qwen2.5-0.5B-Instruct,nlp
github.com/shibing624/medicalgpt,Qwen/Qwen2.5-0.5B,nlp
github.com/shibing624/medicalgpt,01-ai/Yi-6B-Chat,nlp
github.com/shmsw25/factscore,llama-7B,nlp
github.com/siddk/voltron-robotics,distilbert-base-uncased,nlp
github.com/skeskinen/bert.cpp,all-MiniLM-L6-v2,nlp
github.com/snap-stanford/greaselm,roberta-large,nlp
github.com/snap-stanford/greaselm,en_core_web_sm,nlp
github.com/songhaoyu/bob,bart.large.cnn,nlp
github.com/songhaoyu/bob,bert-base-uncased,nlp
github.com/songrise/avatarcraft,runwayml/stable-diffusion-v1-5,multi_modal
github.com/songrise/avatarcraft,stabilityai/stable-diffusion-2-depth,multi_modal
github.com/ssundaram21/dreamsim,dino_vits8,vision
github.com/ssundaram21/dreamsim,dino_vits16,vision
github.com/ssundaram21/dreamsim,dino_vitb8,vision
github.com/ssundaram21/dreamsim,dino_vitb16,vision
github.com/ssundaram21/dreamsim,clip_vitb16,multi_modal
github.com/ssundaram21/dreamsim,clip_vitb32,multi_modal
github.com/ssundaram21/dreamsim,clip_vitl14,multi_modal
github.com/ssundaram21/dreamsim,mae_vitb16,vision
github.com/ssundaram21/dreamsim,mae_vitl16,vision
github.com/ssundaram21/dreamsim,mae_vith14,vision
github.com/ssundaram21/dreamsim,open_clip_vitb16,multi_modal
github.com/ssundaram21/dreamsim,open_clip_vitb32,multi_modal
github.com/ssundaram21/dreamsim,open_clip_vitl14,multi_modal
github.com/ssundaram21/dreamsim,facebook/vit-mae-base,vision
github.com/ssymmetry/bbt-fincuge-applications,BBT-FinT5,nlp
github.com/stanfordnlp/chirpycardinal,bert-large-uncased-whole-word-masking-finetuned-squad,nlp
github.com/stanfordnlp/chirpycardinal,facebook/bart-large,nlp
github.com/stanfordnlp/chirpycardinal,microsoft/DialogRPT-updown,nlp
github.com/stanfordnlp/chirpycardinal,bert-base-uncased,nlp
github.com/stanleylsx/entity_extractor_by_pointer,bert-base-chinese,nlp
github.com/sturdy-dev/semantic-code-search,krlvi/sentence-msmarco-bert-base-dot-v5-nlpl-code_search_net,nlp
github.com/sylinrl/truthfulqa,EleutherAI/gpt-neo-2.7B,nlp
github.com/tabtoyou/kollava,vicuna-7b,nlp
github.com/tabtoyou/kollava,facebook/opt-125m,nlp
github.com/tabtoyou/kollava,llama-vicuna-13b,nlp
github.com/tcapelle/apple_m1_pro_python,bert-base-cased,nlp
github.com/tencentarc/animesr,vit_base_patch8_224,vision
github.com/the-crypt-keeper/can-ai-code,google/gemma-2-9b-it,nlp
