caller,file_path,github_url
create_reward_fn_3;create_reward_fn_2,AlibabaResearch_DAMO-ConvAI/DAMO-ConvAI/PRO/train/utils/metrics.py,github.com/alibabaresearch/damo-convai
TextModel.__init__,YeexiaoZheng_Multimodal-Sentiment-Analysis/Multimodal-Sentiment-Analysis/Models/NaiveCatModel.py,github.com/yeexiaozheng/multimodal-sentiment-analysis
convert_prophetnet_checkpoint_to_pytorch,songhaoyu_BoB/BoB/xlibs/convert_prophetnet_original_pytorch_checkpoint_to_pytorch.py,github.com/songhaoyu/bob
training_function;get_dataloaders,flowersteam_Grounding_LLMs_with_online_RL/Grounding_LLMs_with_online_RL/v0.13.2/accelerate-0.13.2/examples/by_feature/checkpointing.py,github.com/flowersteam/grounding_llms_with_online_rl
main,voidism_DiffCSE/DiffCSE/transformers-4.2.1/examples/seq2seq/finetune_trainer.py,github.com/voidism/diffcse
load_hf,facebookresearch_tart/tart/TART/src/utils.py,github.com/facebookresearch/tart
,sail-sg_EditAnything/EditAnything/sam2groundingdino_edit.py,github.com/sail-sg/editanything
HuggingFaceModel.__init__,farizrahman4u_loopgpt/loopgpt/loopgpt/models/hf.py,github.com/farizrahman4u/loopgpt
FSNERModel.__init__,salesforce_CodeRL/CodeRL/transformers/examples/research_projects/fsner/src/fsner/model.py,github.com/salesforce/coderl
VDual.__init__,siddk_voltron-robotics/voltron-robotics/voltron/models/core/vdual.py,github.com/siddk/voltron-robotics
ExamplesTests.test_run_wav2vec2_pretraining,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/pytorch/test_examples.py,github.com/cuongnn218/zalo_ltr_2021
generate_summaries_or_translations,salesforce_CodeRL/CodeRL/transformers/examples/research_projects/seq2seq-distillation/run_eval.py,github.com/salesforce/coderl
main,voidism_DiffCSE/DiffCSE/transformers-4.2.1/examples/text-classification/run_glue.py,github.com/voidism/diffcse
RobertaRetriever.__init__,facebookresearch_multihop_dense_retrieval/multihop_dense_retrieval/mdr/retrieval/models/mhop_retriever.py,github.com/facebookresearch/multihop_dense_retrieval
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/pytorch/language-modeling/run_mlm_no_trainer.py,github.com/cuongnn218/zalo_ltr_2021
main,voidism_DiffCSE/DiffCSE/transformers-4.2.1/examples/question-answering/run_tf_squad.py,github.com/voidism/diffcse
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/legacy/run_transfo_xl.py,github.com/cuongnn218/zalo_ltr_2021
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/tensorflow/language-modeling/run_clm.py,github.com/cuongnn218/zalo_ltr_2021
Rerank.__init__,facebookresearch_tart/tart/TART/eval_cross_task.py,github.com/facebookresearch/tart
run_model,AlibabaResearch_DAMO-ConvAI/DAMO-ConvAI/pcll/generate.py,github.com/alibabaresearch/damo-convai
main,salesforce_CodeRL/CodeRL/transformers/examples/research_projects/wav2vec2/run_pretrain.py,github.com/salesforce/coderl
ChatGLM.__init__,ypwhs_CreativeChatGLM/CreativeChatGLM/predictors/chatglm_predictor.py,github.com/ypwhs/creativechatglm
modelForMaskedLM;config;modelForQuestionAnswering;modelForCausalLM;tokenizer;model;modelForSequenceClassification,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/hubconf.py,github.com/cuongnn218/zalo_ltr_2021
ModalTransformers.__enter__,the-crypt-keeper_can-ai-code/can-ai-code/interview-transformers-modal.py,github.com/the-crypt-keeper/can-ai-code
FrozenT5Embedder.__init__;FrozenCLIPEmbedder.__init__,sail-sg_EditAnything/EditAnything/ldm/modules/encoders/modules.py,github.com/sail-sg/editanything
,sail-sg_EditAnything/EditAnything/sam2vlpart_edit.py,github.com/sail-sg/editanything
main,salesforce_CodeRL/CodeRL/transformers/examples/research_projects/adversarial/run_hans.py,github.com/salesforce/coderl
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/pytorch/question-answering/run_qa_beam_search_no_trainer.py,github.com/cuongnn218/zalo_ltr_2021
vicuna_chat,danielgross_LlamaAcademy/LlamaAcademy/inference.py,github.com/danielgross/llamaacademy
,lupantech_ScienceQA/ScienceQA/tools/generate_caption.py,github.com/lupantech/scienceqa
convert_ldm_clip_checkpoint,cloneofsimo_paint-with-words-sd/paint-with-words-sd/change_model_path.py,github.com/cloneofsimo/paint-with-words-sd
,guifaChild_text_to_vedio/text_to_vedio/ChatGLM-6B-main/cli_demo.py,github.com/guifachild/text_to_vedio
FrozenT5Embedder.__init__;FrozenCLIPEmbedder.__init__,ShihaoZhaoZSH_Uni-ControlNet/Uni-ControlNet/ldm/modules/encoders/modules.py,github.com/shihaozhaozsh/uni-controlnet
T5Model.__init__,declare-lab_RECCON/RECCON/simpletransformers/t5/t5_model.py,github.com/declare-lab/reccon
,qanastek_HugsVision/HugsVision/recipes/pneumothorax/binary_classification/train_example_deit.py,github.com/qanastek/hugsvision
BERTTokenizer.__init__;FrozenCLIPEmbedder.__init__,ygtxr1997_CelebBasis/CelebBasis/ldm/modules/encoders/modules_bak.py,github.com/ygtxr1997/celebbasis
,ylsung_VL_adapter/VL_adapter/VL-T5/src/my_transformers/modeling_t5.py,github.com/ylsung/vl_adapter
VLBertModelWithDST.__init__,AlibabaResearch_DAMO-ConvAI/DAMO-ConvAI/dstc11-simmc/task3/model/backbone.py,github.com/alibabaresearch/damo-convai
main,voidism_DiffCSE/DiffCSE/transformers-4.2.1/examples/multiple-choice/run_swag.py,github.com/voidism/diffcse
model_fn,aws-samples_aws-genai-llm-chatbot/aws-genai-llm-chatbot/lib/large-language-model/hf-custom-script-model/samples/basic/inference.py,github.com/aws-samples/aws-genai-llm-chatbot
GraphInputLayerPLM.__init__,AlibabaResearch_DAMO-ConvAI/DAMO-ConvAI/s2sql/model/encoder/graph_input.py,github.com/alibabaresearch/damo-convai
load_models,prakhar21_TextAugmentation-GPT2/TextAugmentation-GPT2/train.py,github.com/prakhar21/textaugmentation-gpt2
,arpitbansal297_Universal-Guided-Diffusion/Universal-Guided-Diffusion/stable-diffusion-guided/scripts/style_transfer.py,github.com/arpitbansal297/universal-guided-diffusion
main,huggingface_instruction-tuned-sd/instruction-tuned-sd/finetune_instruct_pix2pix.py,github.com/huggingface/instruction-tuned-sd
convert_to_df,Mikubill_naifu-diffusion/naifu-diffusion/lib/utils.py,github.com/mikubill/naifu-diffusion
main,yuvalkirstain_PickScore/PickScore/trainer/scripts/eval_preference_predictor.py,github.com/yuvalkirstain/pickscore
Model.__init__,AlibabaResearch_DAMO-ConvAI/DAMO-ConvAI/tkk/models/unified/finetune.py,github.com/alibabaresearch/damo-convai
,timothybrooks_instruct-pix2pix/instruct-pix2pix/stable_diffusion/scripts/txt2img.py,github.com/timothybrooks/instruct-pix2pix
GenerateEmbedding.__init__,dqshuai_MetaFormer/MetaFormer/inference.py,github.com/dqshuai/metaformer
RNACTrainingInstructor._load_dataset_and_prepare_dataloader,yangheng95_PyABSA/PyABSA/pyabsa/tasks/RNAClassification/instructor/rnac_instructor.py,github.com/yangheng95/pyabsa
test,kmeng01_memit/memit/baselines/mend/algs/enn.py,github.com/kmeng01/memit
main,salesforce_CodeRL/CodeRL/transformers/examples/research_projects/jax-projects/model_parallel/run_clm_mp.py,github.com/salesforce/coderl
VCond.__init__,siddk_voltron-robotics/voltron-robotics/voltron/models/core/vcond.py,github.com/siddk/voltron-robotics
AbstractiveSummarizer.__init__,HHousen_TransformerSum/TransformerSum/src/abstractive.py,github.com/hhousen/transformersum
ModelEvalTester.get_model;ModelEvalTester.get_tokenizer,voidism_DiffCSE/DiffCSE/transformers-4.2.1/examples/seq2seq/test_fsmt_bleu_score.py,github.com/voidism/diffcse
,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/tensorflow/token-classification/run_ner.py,github.com/cuongnn218/zalo_ltr_2021
,arpitbansal297_Universal-Guided-Diffusion/Universal-Guided-Diffusion/stable-diffusion-guided/scripts/txt2img.py,github.com/arpitbansal297/universal-guided-diffusion
EffiGlobalPointer.__init__,StanleyLsx_entity_extractor_by_pointer/entity_extractor_by_pointer/engines/models/GlobalPointer.py,github.com/stanleylsx/entity_extractor_by_pointer
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/pytorch/question-answering/run_qa_no_trainer.py,github.com/cuongnn218/zalo_ltr_2021
VC_Evaluate.__init__,winddori2002_TriAAN-VC/TriAAN-VC/src/metric.py,github.com/winddori2002/triaan-vc
TextModel.__init__,YeexiaoZheng_Multimodal-Sentiment-Analysis/Multimodal-Sentiment-Analysis/Models/CMACModel.py,github.com/yeexiaozheng/multimodal-sentiment-analysis
FrozenT5Embedder.__init__;FrozenCLIPEmbedder.__init__,KU-CVLAB_3DFuse/3DFuse/ldm/modules/encoders/modules.py,github.com/ku-cvlab/3dfuse
T5Gen_Model.__init__,awslabs_pptod/pptod/IC/modelling/T5Model.py,github.com/awslabs/pptod
main,sail-sg_EditAnything/EditAnything/tools/train_dreambooth_inpaint.py,github.com/sail-sg/editanything
,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/pytorch/speech-recognition/run_speech_recognition_ctc.py,github.com/cuongnn218/zalo_ltr_2021
train,bofenghuang_vigogne/vigogne/vigogne/train/train_sft_seq2seq.py,github.com/bofenghuang/vigogne
,EleutherAI_gpt-neox/gpt-neox/tools/convert_hf_to_sequential.py,github.com/eleutherai/gpt-neox
get_model;main,fastnlp_CPT/CPT/finetune/classification/run_clue_classifier.py,github.com/fastnlp/cpt
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/pytorch/text-classification/run_glue_no_trainer.py,github.com/cuongnn218/zalo_ltr_2021
,lensterxyz_lenster/lenster/packages/ai/download_models.py,github.com/lensterxyz/lenster
get_bert,amazon-science_sccl/sccl/utils/.ipynb_checkpoints/optimizer-checkpoint.py,github.com/amazon-science/sccl
training_function;get_dataloaders,flowersteam_Grounding_LLMs_with_online_RL/Grounding_LLMs_with_online_RL/v0.13.2/accelerate-0.13.2/examples/by_feature/tracking.py,github.com/flowersteam/grounding_llms_with_online_rl
main,salesforce_CodeRL/CodeRL/transformers/examples/tensorflow/language-modeling/run_clm.py,github.com/salesforce/coderl
DenoisingAutoEncoderLoss.__init__,zhoujx4_NLP-Series-sentence-embeddings/NLP-Series-sentence-embeddings/sentence_transformers/losses/DenoisingAutoEncoderLoss.py,github.com/zhoujx4/nlp-series-sentence-embeddings
Comet.__init__,allenai_comet-atomic-2020/comet-atomic-2020/models/comet_atomic2020_bart/generation_example.py,github.com/allenai/comet-atomic-2020
main,salesforce_CodeRL/CodeRL/transformers/examples/pytorch/language-modeling/run_mlm_no_trainer.py,github.com/salesforce/coderl
DownloadCommand.run,songhaoyu_BoB/BoB/xlibs/commands/download.py,github.com/songhaoyu/bob
Lamumo.__init__,phellonchen_X-LLM/X-LLM/xllm/models/xllm_models/lamumo.py,github.com/phellonchen/x-llm
HFModel.__init__,dpfried_incoder/incoder/evaluation/models.py,github.com/dpfried/incoder
MBaseLearningModel.init_model,Mikubill_naifu-diffusion/naifu-diffusion/experiment/noisy_learning.py,github.com/mikubill/naifu-diffusion
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/pytorch/summarization/run_summarization.py,github.com/cuongnn218/zalo_ltr_2021
predict_image,qanastek_HugsVision/HugsVision/docker/API-CPU-ONLY/server/main.py,github.com/qanastek/hugsvision
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/research_projects/rag/use_own_knowledge_dataset.py,github.com/cuongnn218/zalo_ltr_2021
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/research_projects/bertology/run_prune_gpt.py,github.com/cuongnn218/zalo_ltr_2021
get_bert,AlibabaResearch_DAMO-ConvAI/DAMO-ConvAI/sdsql/train.py,github.com/alibabaresearch/damo-convai
XLLM.__init__,phellonchen_X-LLM/X-LLM/xllm/models/xllm_models/xllm.py,github.com/phellonchen/x-llm
TextEncoder.__init__,VinAIResearch_XPhoneBERT/XPhoneBERT/VITS_with_XPhoneBERT/models.py,github.com/vinairesearch/xphonebert
,stanfordnlp_chirpycardinal/chirpycardinal/docker/responseranker/app/remote_module.py,github.com/stanfordnlp/chirpycardinal
main,salesforce_CodeRL/CodeRL/transformers/examples/research_projects/rag-end2end-retriever/use_own_knowledge_dataset.py,github.com/salesforce/coderl
Img2PromptVQA.from_config,Yui010206_SeViLA/SeViLA/lavis/models/img2prompt_models/img2prompt_vqa.py,github.com/yui010206/sevila
main,neulab_knn-transformers/knn-transformers/run_translation.py,github.com/neulab/knn-transformers
main,voidism_DiffCSE/DiffCSE/transformers-4.2.1/examples/language-modeling/run_mlm.py,github.com/voidism/diffcse
BertClassifier.__init__,kmeng01_memit/memit/baselines/mend/models.py,github.com/kmeng01/memit
,dpfried_incoder/incoder/example_usage.py,github.com/dpfried/incoder
BERTTokenizer.__init__;FrozenCLIPEmbedder.__init__,ChenWu98_cycle-diffusion/cycle-diffusion/model/lib/stable_diffusion/ldm/modules/encoders/modules.py,github.com/chenwu98/cycle-diffusion
main,salesforce_CodeRL/CodeRL/transformers/examples/legacy/multiple_choice/run_multiple_choice.py,github.com/salesforce/coderl
test_model_generation,RUC-GSAI_YuLan-IR/YuLan-IR/WebBrain/generator/run_model_test.py,github.com/ruc-gsai/yulan-ir
ProcessManager.__init__,AlibabaResearch_DAMO-ConvAI/DAMO-ConvAI/PRO/train/utils/process_manager.py,github.com/alibabaresearch/damo-convai
eval_model,tabtoyou_KoLLaVA/KoLLaVA/llava/eval/run_llava.py,github.com/tabtoyou/kollava
Rerank.__init__,facebookresearch_tart/tart/TART/src/rerank.py,github.com/facebookresearch/tart
training_function;get_fold_dataloaders,flowersteam_Grounding_LLMs_with_online_RL/Grounding_LLMs_with_online_RL/v0.13.2/accelerate-0.13.2/examples/by_feature/cross_validation.py,github.com/flowersteam/grounding_llms_with_online_rl
main,voidism_DiffCSE/DiffCSE/transformers-4.2.1/examples/multiple-choice/run_tf_multiple_choice.py,github.com/voidism/diffcse
CrossEncoder.__init__,zhoujx4_NLP-Series-sentence-embeddings/NLP-Series-sentence-embeddings/sentence_transformers/cross_encoder/CrossEncoder.py,github.com/zhoujx4/nlp-series-sentence-embeddings
main,salesforce_CodeRL/CodeRL/transformers/examples/pytorch/language-modeling/run_clm_no_trainer.py,github.com/salesforce/coderl
Scorer.__init__,naver_gdc/gdc/dpg/gdc/gdc/scorer.py,github.com/naver/gdc
ImageCaptioning.__init__,kaleido-lab_dolphin/dolphin/modules/blip/__init__.py,github.com/kaleido-lab/dolphin
GraphInputLayerPLM.__init__,AlibabaResearch_DAMO-ConvAI/DAMO-ConvAI/proton/model/encoder/graph_input.py,github.com/alibabaresearch/damo-convai
,YuanGongND_whisper-at/whisper-at/src/noise_robust_asr/intermediate_feat_extract/esc-50/extract_esc50_hubert_xl_all_pool.py,github.com/yuangongnd/whisper-at
,salesforce_CodeRL/CodeRL/transformers/examples/research_projects/distillation/scripts/extract.py,github.com/salesforce/coderl
run_pplm_example,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/research_projects/pplm/run_pplm.py,github.com/cuongnn218/zalo_ltr_2021
training_function;get_dataloaders,flowersteam_Grounding_LLMs_with_online_RL/Grounding_LLMs_with_online_RL/v0.13.2/accelerate-0.13.2/src/accelerate/test_utils/scripts/external_deps/test_performance.py,github.com/flowersteam/grounding_llms_with_online_rl
,Vahe1994_SpQR/SpQR/modelutils.py,github.com/vahe1994/spqr
Evaluator._build_ppl_model;Evaluator._build_grammaticality_classifier;Evaluator.__init__,facebookresearch_ParlAI/ParlAI/projects/roscoe/score.py,github.com/facebookresearch/parlai
,guifaChild_text_to_vedio/text_to_vedio/ChatGLM-6B-main/web_demo_old.py,github.com/guifachild/text_to_vedio
main,memray_OpenNMT-kpg-release/OpenNMT-kpg-release/onmt/keyphrase/run_infer_hfkpg.py,github.com/memray/opennmt-kpg-release
ParlaiLlamaForSequenceClassification.__init__;ParlaiLlamaForCausalLM.__init__,facebookresearch_ParlAI/ParlAI/parlai/agents/hugging_face/llama.py,github.com/facebookresearch/parlai
BaseTransformer.__init__,andreamad8_FSB/FSB/data/wow/KILT/kilt/readers/t5/base_transformer.py,github.com/andreamad8/fsb
,sanchit-gandhi_whisper-jax/whisper-jax/benchmarks/run_pmap.py,github.com/sanchit-gandhi/whisper-jax
,guifaChild_text_to_vedio/text_to_vedio/ChatGLM-6B-main/web_demo.py,github.com/guifachild/text_to_vedio
HuggingFaceModel.init_model,Xpitfire_symbolicai/symbolicai/symai/backend/services/huggingface_causallm_server.py,github.com/xpitfire/symbolicai
BERTRelTransformerEncoder.__init__,AIGC-Audio_AudioGPT/AudioGPT/NeuralSeq/modules/commons/rel_transformer.py,github.com/aigc-audio/audiogpt
ImageCaptioning.__init__;VisualQuestionAnswering.__init__;Image2Seg.__init__;MaskFormer.__init__,wxj630_visual-chatgpt-zh/visual-chatgpt-zh/visual_chatgpt.py,github.com/wxj630/visual-chatgpt-zh
Discriminator.__init__,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/research_projects/pplm/run_pplm_discrim_train.py,github.com/cuongnn218/zalo_ltr_2021
main,salesforce_CodeRL/CodeRL/transformers/examples/flax/language-modeling/run_mlm_flax.py,github.com/salesforce/coderl
eval_data_dir,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/legacy/seq2seq/run_distributed_eval.py,github.com/cuongnn218/zalo_ltr_2021
EMCGCN.__init__,yangheng95_PyABSA/PyABSA/pyabsa/tasks/AspectSentimentTripletExtraction/models/model.py,github.com/yangheng95/pyabsa
,abhijithneilabraham_tableQA/tableQA/tableqa/nlp.py,github.com/abhijithneilabraham/tableqa
main,wzhouad_ATLOP/ATLOP/train_bio.py,github.com/wzhouad/atlop
main,shibing624_MedicalGPT/MedicalGPT/merge_peft_adapter.py,github.com/shibing624/medicalgpt
modelForMaskedLM;config;modelForQuestionAnswering;modelForCausalLM;tokenizer;model;modelForSequenceClassification,salesforce_CodeRL/CodeRL/transformers/hubconf.py,github.com/salesforce/coderl
load_model,andreamad8_FSB/FSB/utils/utils.py,github.com/andreamad8/fsb
eval_data_dir,salesforce_CodeRL/CodeRL/transformers/examples/legacy/seq2seq/run_distributed_eval.py,github.com/salesforce/coderl
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/legacy/run_swag.py,github.com/cuongnn218/zalo_ltr_2021
StableDiffusionImg2ImgPipeline.__init__,johannakarras_DreamPose/DreamPose/pipelines/dual_encoder_pipeline.py,github.com/johannakarras/dreampose
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/flax/language-modeling/run_t5_mlm_flax.py,github.com/cuongnn218/zalo_ltr_2021
BaseTTSInfer.build_asr,Rongjiehuang_GenerSpeech/GenerSpeech/inference/base_tts_infer.py,github.com/rongjiehuang/generspeech
,salesforce_CodeRL/CodeRL/transformers/examples/pytorch/image-classification/run_image_classification.py,github.com/salesforce/coderl
load_model;load_tokenizer,scutcyr_SoulChat/SoulChat/soulchat_app.py,github.com/scutcyr/soulchat
cl_init,voidism_DiffCSE/DiffCSE/diffcse/models.py,github.com/voidism/diffcse
FrozenT5Embedder.__init__;FrozenCLIPEmbedder.__init__,Stability-AI_stablediffusion/stablediffusion/ldm/modules/encoders/modules.py,github.com/stability-ai/stablediffusion
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/tensorflow/summarization/run_summarization.py,github.com/cuongnn218/zalo_ltr_2021
,qiuhuachuan_smile/smile/MeChat_local.py,github.com/qiuhuachuan/smile
main;get_teacher_predictions,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/research_projects/zero-shot-distillation/distill_classifier.py,github.com/cuongnn218/zalo_ltr_2021
generate_summaries_or_translations,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/legacy/seq2seq/run_eval.py,github.com/cuongnn218/zalo_ltr_2021
,AlibabaResearch_DAMO-ConvAI/DAMO-ConvAI/proton/preprocess/test_g.py,github.com/alibabaresearch/damo-convai
config;modelForQuestionAnswering;modelForSequenceClassification;tokenizer;model;modelWithLMHead,voidism_DiffCSE/DiffCSE/transformers-4.2.1/hubconf.py,github.com/voidism/diffcse
training_function,flowersteam_Grounding_LLMs_with_online_RL/Grounding_LLMs_with_online_RL/v0.13.2/accelerate-0.13.2/examples/complete_nlp_example.py,github.com/flowersteam/grounding_llms_with_online_rl
main,allenai_comet-atomic-2020/comet-atomic-2020/models/gpt2_zeroshot/gpt2-zeroshot.py,github.com/allenai/comet-atomic-2020
eval_data_dir,voidism_DiffCSE/DiffCSE/transformers-4.2.1/examples/seq2seq/run_distributed_eval.py,github.com/voidism/diffcse
load_mae_as_vit,ssundaram21_dreamsim/dreamsim/dreamsim/feature_extraction/load_mae_as_vit.py,github.com/ssundaram21/dreamsim
